2023-07-04 16:18:42 status unpacked ncurses-base:all 6.3-2
2023-07-04 16:18:42 status half-configured ncurses-base:all 6.3-2
2023-07-04 16:18:42 status installed ncurses-base:all 6.3-2
2023-07-04 16:18:42 configure sensible-utils:all 0.0.17 <none>
2023-07-04 16:18:42 status unpacked sensible-utils:all 0.0.17
2023-07-04 16:18:42 status half-configured sensible-utils:all 0.0.17
2023-07-04 16:18:42 status installed sensible-utils:all 0.0.17
2023-07-04 16:18:42 configure libcrypt1:amd64 1:4.4.27-1 <none>
2023-07-04 16:18:42 status unpacked libcrypt1:amd64 1:4.4.27-1
2023-07-04 16:18:42 status half-configured libcrypt1:amd64 1:4.4.27-1
2023-07-04 16:18:42 status installed libcrypt1:amd64 1:4.4.27-1
2023-07-04 16:18:42 configure libgcc-s1:amd64 12-20220319-1ubuntu1 <none>
2023-07-04 16:18:42 status unpacked libgcc-s1:amd64 12-20220319-1ubuntu1
2023-07-04 16:18:42 status half-configured libgcc-s1:amd64 12-20220319-1ubuntu1
2023-07-04 16:18:42 status installed libgcc-s1:amd64 12-20220319-1ubuntu1
2023-07-04 16:18:42 configure libc6:amd64 2.35-0ubuntu3 <none>
